Project_Size,Weather_Conditions,Labor_Availability,Material_Availability,Site_Conditions,Government_Approvals,Budget_Issues,Equipment_Availability,Planned_Duration_Days,Actual_Completion_Days
Large,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,95,106
Large,Snow,Sufficient,On-time,Moderate,Pending,No,Delayed,180,190
Large,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,150,166
Large,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,218,266
Large,Clear,Insufficient,On-time,Bad,Pending,Yes,Available,344,374
Medium,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,98,112
Large,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,51,89
Small,Rain,Insufficient,On-time,Moderate,Approved,No,Available,239,284
Large,Snow,Sufficient,On-time,Bad,Pending,Yes,Available,109,143
Large,Snow,Sufficient,On-time,Good,Approved,Yes,Available,275,321
Medium,Rain,Insufficient,On-time,Bad,Approved,No,Delayed,93,138
Small,Rain,Sufficient,On-time,Good,Pending,Yes,Available,96,119
Large,Rain,Insufficient,On-time,Moderate,Approved,Yes,Available,160,176
Medium,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,45,83
Medium,Snow,Sufficient,On-time,Bad,Approved,Yes,Delayed,136,172
Medium,Rain,Insufficient,Delayed,Bad,Approved,Yes,Available,132,151
Large,Clear,Insufficient,Delayed,Good,Approved,Yes,Delayed,161,189
Small,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Available,255,276
Large,Storm,Insufficient,On-time,Moderate,Approved,No,Available,315,331
Large,Snow,Insufficient,On-time,Bad,Pending,Yes,Available,266,279
Small,Storm,Insufficient,On-time,Good,Approved,Yes,Available,161,187
Small,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Available,65,102
Large,Snow,Insufficient,On-time,Moderate,Pending,Yes,Delayed,107,137
Medium,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,52,82
Medium,Snow,Sufficient,On-time,Good,Approved,No,Available,172,194
Medium,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,89,130
Large,Rain,Sufficient,Delayed,Good,Pending,No,Available,300,342
Medium,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,120,168
Large,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,121,170
Large,Storm,Insufficient,Delayed,Moderate,Approved,No,Available,30,55
Large,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,344,363
Small,Snow,Sufficient,On-time,Moderate,Approved,Yes,Delayed,177,216
Large,Clear,Sufficient,Delayed,Bad,Pending,No,Available,295,318
Large,Snow,Insufficient,Delayed,Good,Approved,Yes,Available,265,298
Small,Storm,Insufficient,Delayed,Moderate,Approved,No,Available,56,103
Large,Storm,Insufficient,On-time,Good,Approved,Yes,Available,270,287
Small,Storm,Insufficient,Delayed,Bad,Pending,Yes,Delayed,103,117
Small,Clear,Sufficient,Delayed,Good,Approved,No,Available,41,77
Small,Snow,Sufficient,On-time,Bad,Pending,No,Available,91,103
Large,Rain,Sufficient,Delayed,Bad,Approved,Yes,Available,234,259
Large,Rain,Sufficient,On-time,Good,Pending,Yes,Delayed,86,109
Small,Clear,Sufficient,Delayed,Good,Approved,Yes,Delayed,332,358
Medium,Clear,Insufficient,Delayed,Good,Approved,No,Available,360,380
Large,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Available,355,404
Large,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,150,178
Large,Clear,Sufficient,Delayed,Good,Approved,Yes,Available,70,92
Large,Rain,Sufficient,On-time,Moderate,Pending,No,Available,208,222
Large,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Available,361,405
Small,Clear,Sufficient,Delayed,Bad,Approved,No,Available,346,361
Large,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,103,136
Small,Rain,Sufficient,On-time,Good,Pending,No,Available,228,241
Large,Snow,Sufficient,Delayed,Good,Approved,Yes,Delayed,349,386
Large,Snow,Insufficient,Delayed,Good,Approved,No,Delayed,52,62
Small,Snow,Insufficient,On-time,Good,Pending,No,Available,121,138
Small,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,201,243
Large,Rain,Insufficient,On-time,Moderate,Approved,Yes,Delayed,287,335
Small,Clear,Insufficient,On-time,Good,Approved,No,Delayed,302,351
Large,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,69,101
Large,Snow,Sufficient,Delayed,Bad,Approved,No,Delayed,264,277
Small,Rain,Insufficient,Delayed,Bad,Approved,No,Available,70,98
Large,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,69,112
Large,Rain,Insufficient,On-time,Moderate,Pending,No,Delayed,131,176
Small,Clear,Insufficient,Delayed,Bad,Pending,No,Available,84,132
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Delayed,255,289
Small,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,222,232
Large,Rain,Insufficient,On-time,Moderate,Approved,Yes,Available,41,57
Large,Rain,Insufficient,Delayed,Bad,Approved,Yes,Available,59,106
